,Time,Low,High,Open,Close,Volume
326,2024-03-15 20:00:00,3466.55,3781.4,3743.29,3520.1,116692.68177422
325,2024-03-16 20:00:00,3410.78,3676.76,3520.24,3641.02,109583.54224228
324,2024-03-17 20:00:00,3454.3,3642.56,3641.51,3520.66,119847.05230624
323,2024-03-18 20:00:00,3147.81,3547.97,3520.52,3156.97,257986.0718834
322,2024-03-19 20:00:00,3057.5,3536.72,3156.94,3516.68,324768.03382929
321,2024-03-20 20:00:00,3410.45,3586.59,3517.02,3491.78,148636.00452543
320,2024-03-21 20:00:00,3250.33,3542.56,3491.78,3337.41,163488.1093582
319,2024-03-22 20:00:00,3271.47,3436.39,3337.38,3330.05,94959.72106776
318,2024-03-23 20:00:00,3300.0,3471.22,3330.28,3454.67,60606.08564157
317,2024-03-24 20:00:00,3418.61,3661.7,3454.88,3591.02,119411.57116768
316,2024-03-25 20:00:00,3544.0,3681.9,3590.61,3587.67,97999.11894572
315,2024-03-26 20:00:00,3458.0,3665.95,3587.5,3499.56,113287.84057127
314,2024-03-27 20:00:00,3462.44,3612.3,3499.62,3561.1,82506.6359203
313,2024-03-28 20:00:00,3473.42,3584.9,3561.12,3511.08,60142.83951755
312,2024-03-29 20:00:00,3488.08,3568.13,3511.21,3507.51,49286.0694304
311,2024-03-30 20:00:00,3505.76,3654.87,3507.31,3645.48,53825.13202391
310,2024-03-31 20:00:00,3413.86,3646.38,3645.55,3505.85,97053.82915967
309,2024-04-01 20:00:00,3211.41,3507.69,3505.95,3279.64,148814.96574824
308,2024-04-02 20:00:00,3202.8,3369.43,3279.71,3312.43,99323.0886667
307,2024-04-03 20:00:00,3251.91,3444.95,3312.42,3329.39,108312.21150232
306,2024-04-04 20:00:00,3210.99,3348.33,3329.41,3319.26,82464.50869563
305,2024-04-05 20:00:00,3308.7,3398.8,3319.1,3352.66,35789.96297357
304,2024-04-06 20:00:00,3345.36,3459.52,3352.87,3453.67,40642.58459362
303,2024-04-07 20:00:00,3406.93,3729.16,3453.69,3694.56,117580.32397415
302,2024-04-08 20:00:00,3450.6,3726.79,3694.26,3504.58,104295.66540925
301,2024-04-09 20:00:00,3411.59,3562.51,3504.24,3546.0,83472.76785832
300,2024-04-10 20:00:00,3473.6,3617.97,3546.07,3503.06,73843.06830002
299,2024-04-11 20:00:00,3100.0,3553.03,3503.06,3239.31,158974.418562
298,2024-04-12 20:00:00,2850.0,3302.32,3238.98,3011.39,241260.34609045
297,2024-04-13 20:00:00,2911.23,3175.72,3012.01,3158.06,160742.93293593
296,2024-04-14 20:00:00,3025.0,3281.21,3158.2,3103.13,129021.87609399
295,2024-04-15 20:00:00,2990.0,3128.28,3103.4,3085.25,117411.00495166
294,2024-04-16 20:00:00,2914.01,3124.03,3085.41,2984.98,122585.77561348
293,2024-04-17 20:00:00,2952.53,3100.8,2984.9,3065.82,91513.42190694
292,2024-04-18 20:00:00,2865.71,3128.99,3065.8,3057.93,126465.06248187
291,2024-04-19 20:00:00,3019.11,3172.3,3057.9,3157.01,42703.49658553
290,2024-04-20 20:00:00,3117.46,3198.46,3156.62,3148.1,34111.84839622
289,2024-04-21 20:00:00,3129.68,3237.41,3148.06,3201.46,70530.52584425
288,2024-04-22 20:00:00,3153.41,3266.4,3201.67,3219.49,69940.4136472
287,2024-04-23 20:00:00,3102.62,3293.4,3219.42,3138.91,88784.32655222
286,2024-04-24 20:00:00,3071.79,3191.94,3139.27,3155.36,95350.39968519
285,2024-04-25 20:00:00,3101.01,3166.66,3155.27,3130.0,69330.93637665
284,2024-04-26 20:00:00,3067.27,3281.92,3130.04,3253.04,65631.20199995
283,2024-04-27 20:00:00,3239.72,3356.31,3253.04,3262.6,66716.10732189
282,2024-04-28 20:00:00,3114.56,3287.15,3262.99,3215.53,85704.21545809
281,2024-04-29 20:00:00,2916.34,3249.66,3215.89,3011.4,122376.47890903
280,2024-04-30 20:00:00,2814.12,3020.26,3011.24,2968.12,148775.73927121
279,2024-05-01 20:00:00,2890.28,3016.07,2968.18,2986.32,74253.44635959
278,2024-05-02 20:00:00,2958.55,3128.04,2986.12,3103.27,82328.62907159
277,2024-05-03 20:00:00,3093.87,3167.85,3104.11,3117.41,37445.2105609
276,2024-05-04 20:00:00,3073.7,3171.64,3117.52,3136.95,38526.42777835
275,2024-05-05 20:00:00,3045.59,3221.41,3136.77,3062.69,79596.65949657
274,2024-05-06 20:00:00,3000.0,3129.9,3062.69,3005.78,62108.80446702
273,2024-05-07 20:00:00,2937.09,3038.17,3006.09,2972.82,52553.55510881
272,2024-05-08 20:00:00,2949.52,3058.43,2972.81,3035.92,56610.30197974
271,2024-05-09 20:00:00,2878.38,3053.53,3035.92,2909.43,79016.14737388
270,2024-05-10 20:00:00,2885.8,2943.64,2909.38,2911.75,26841.15468691
269,2024-05-11 20:00:00,2900.59,2954.16,2911.77,2927.75,23851.53354001
268,2024-05-12 20:00:00,2864.35,2994.74,2927.72,2950.21,81949.54698641
267,2024-05-13 20:00:00,2858.76,2988.0,2950.09,2880.4,84843.49382255
266,2024-05-14 20:00:00,2862.36,3041.53,2880.39,3033.2,102425.75517286
265,2024-05-15 20:00:00,2923.73,3041.71,3033.23,2945.11,79847.19015756
264,2024-05-16 20:00:00,2932.68,3122.08,2944.86,3093.39,80378.06214215
263,2024-05-17 20:00:00,3085.07,3148.0,3093.2,3123.99,35887.59340775
262,2024-05-18 20:00:00,3053.74,3137.64,3123.76,3070.9,36279.72976482
261,2024-05-19 20:00:00,3048.58,3695.0,3070.83,3661.52,280881.20562155
260,2024-05-20 20:00:00,3625.58,3841.24,3661.51,3789.37,253191.48042776
259,2024-05-21 20:00:00,3653.11,3813.25,3789.41,3735.99,152993.45828385
258,2024-05-22 20:00:00,3521.24,3947.0,3736.02,3780.83,309961.25314343
257,2024-05-23 20:00:00,3627.53,3827.99,3780.42,3726.89,112184.8378011
256,2024-05-24 20:00:00,3707.41,3777.78,3726.87,3749.06,33301.97878165
255,2024-05-25 20:00:00,3731.03,3882.82,3749.23,3823.83,57883.65812154
254,2024-05-26 20:00:00,3821.01,3973.9,3823.55,3890.72,71151.44619506
253,2024-05-27 20:00:00,3769.47,3926.6,3890.72,3839.98,100613.04720901
252,2024-05-28 20:00:00,3740.75,3884.24,3840.18,3762.11,108846.32940744
251,2024-05-29 20:00:00,3700.4,3824.07,3762.07,3746.74,96742.8620579
250,2024-05-30 20:00:00,3720.52,3846.0,3746.64,3758.44,83743.90660225
249,2024-05-31 20:00:00,3748.31,3829.99,3758.44,3812.48,33739.89750423
248,2024-06-01 20:00:00,3750.59,3835.0,3812.49,3778.88,44725.20926266
247,2024-06-02 20:00:00,3757.32,3850.06,3778.88,3766.09,66419.59243831
246,2024-06-03 20:00:00,3730.56,3832.56,3766.12,3810.29,57771.03645715
245,2024-06-04 20:00:00,3777.25,3888.9,3810.24,3866.57,67943.79281961
244,2024-06-05 20:00:00,3758.19,3879.15,3866.42,3812.09,53756.6117727
243,2024-06-06 20:00:00,3575.23,3839.71,3812.04,3676.35,110370.11489481
242,2024-06-07 20:00:00,3658.0,3707.99,3676.31,3680.84,28751.32754441
241,2024-06-08 20:00:00,3666.2,3721.16,3680.89,3706.27,19656.41005708
240,2024-06-09 20:00:00,3643.02,3712.6,3706.4,3665.86,43724.86169828
239,2024-06-10 20:00:00,3381.0,3671.47,3665.86,3497.31,137575.16363517
238,2024-06-11 20:00:00,3461.52,3657.05,3497.27,3559.14,98483.84286884
237,2024-06-12 20:00:00,3425.87,3560.6,3559.14,3467.65,108846.17560996
236,2024-06-13 20:00:00,3360.62,3529.83,3467.9,3479.53,102617.12125958
235,2024-06-14 20:00:00,3470.96,3591.87,3479.53,3566.69,56700.50673905
234,2024-06-15 20:00:00,3538.74,3651.51,3566.82,3622.1,44147.59671264
233,2024-06-16 20:00:00,3463.38,3640.0,3622.53,3509.55,111781.88622712
232,2024-06-17 20:00:00,3351.0,3515.87,3509.81,3482.06,129044.70825538
231,2024-06-18 20:00:00,3464.44,3585.77,3482.07,3559.14,103693.89596402
230,2024-06-19 20:00:00,3483.5,3624.28,3559.24,3510.73,108383.66568546
229,2024-06-20 20:00:00,3444.7,3545.99,3510.73,3517.19,103321.37276566
228,2024-06-21 20:00:00,3473.78,3520.03,3517.18,3494.09,30077.22258147
227,2024-06-22 20:00:00,3405.07,3519.79,3494.09,3418.42,43942.98809967
226,2024-06-23 20:00:00,3233.75,3432.5,3418.42,3350.59,171526.13894959
225,2024-06-24 20:00:00,3334.79,3430.6,3350.6,3393.6,105747.82411729
224,2024-06-25 20:00:00,3323.0,3425.44,3393.59,3369.31,82891.50854776
223,2024-06-26 20:00:00,3359.23,3474.12,3369.76,3445.58,76984.49380219
222,2024-06-27 20:00:00,3360.01,3484.72,3445.57,3373.62,102502.65124597
221,2024-06-28 20:00:00,3366.21,3403.09,3373.75,3373.26,24185.37815898
220,2024-06-29 20:00:00,3347.21,3453.93,3373.34,3432.37,33619.80014887
219,2024-06-30 20:00:00,3420.5,3518.85,3432.37,3438.59,61636.24032048
218,2024-07-01 20:00:00,3396.76,3460.56,3438.59,3416.17,43494.06793371
217,2024-07-02 20:00:00,3248.0,3427.04,3416.17,3291.73,87308.24050746
216,2024-07-03 20:00:00,3050.0,3309.58,3291.88,3058.89,128764.42789612
215,2024-07-04 20:00:00,2809.41,3108.7,3059.08,2981.74,246354.98758317
214,2024-07-05 20:00:00,2955.67,3082.05,2981.74,3067.39,53153.51902767
213,2024-07-06 20:00:00,2921.13,3073.49,3067.38,2930.78,43012.58338564
212,2024-07-07 20:00:00,2822.64,3095.94,2930.78,3018.48,142216.07981425
211,2024-07-08 20:00:00,3003.55,3113.5,3018.47,3066.51,59915.93941771
210,2024-07-09 20:00:00,3023.8,3150.72,3066.35,3100.3,67608.08879775
209,2024-07-10 20:00:00,3055.0,3220.48,3100.35,3099.29,77797.90457066
208,2024-07-11 20:00:00,3045.8,3158.3,3099.35,3135.05,49238.51060916
207,2024-07-12 20:00:00,3114.15,3203.05,3134.84,3176.71,26046.02798174
206,2024-07-13 20:00:00,3164.66,3270.12,3176.61,3246.38,38866.26158568
205,2024-07-14 20:00:00,3233.86,3496.03,3246.38,3485.87,110069.74915363
204,2024-07-15 20:00:00,3348.0,3499.99,3485.35,3446.67,90433.49001457
203,2024-07-16 20:00:00,3376.92,3518.38,3446.67,3387.45,69258.00394095
202,2024-07-17 20:00:00,3367.65,3490.0,3387.1,3425.58,62188.79112524
201,2024-07-18 20:00:00,3375.99,3541.85,3425.58,3505.75,82780.35096942
200,2024-07-19 20:00:00,3482.03,3540.79,3505.83,3519.06,29367.4769642
199,2024-07-20 20:00:00,3413.01,3547.57,3518.99,3536.2,41195.37901679
198,2024-07-21 20:00:00,3423.94,3563.02,3536.21,3441.1,55522.37465033
197,2024-07-22 20:00:00,3390.0,3541.2,3441.09,3482.9,134627.15575407
196,2024-07-23 20:00:00,3299.16,3488.05,3482.89,3334.99,108661.70978004
195,2024-07-24 20:00:00,3086.13,3342.07,3335.0,3174.3,201536.44580506
194,2024-07-25 20:00:00,3169.59,3286.65,3174.3,3274.95,88789.0006109
193,2024-07-26 20:00:00,3190.57,3327.6,3274.84,3249.25,55872.3354621
192,2024-07-27 20:00:00,3198.23,3283.98,3249.24,3269.98,30497.48961316
191,2024-07-28 20:00:00,3256.68,3396.61,3270.15,3317.55,111549.61997732
190,2024-07-29 20:00:00,3232.55,3365.68,3317.42,3278.27,86408.39509467
189,2024-07-30 20:00:00,3213.0,3348.0,3278.42,3231.81,87723.99196968
188,2024-07-31 20:00:00,3077.17,3242.14,3231.81,3200.54,115192.55494313
187,2024-08-01 20:00:00,2964.01,3215.75,3200.53,2985.84,124022.20884018
186,2024-08-02 20:00:00,2857.35,3016.19,2985.88,2901.72,77878.90239055
